url_name,zh_name,platinum1,platinum2,platinum3,platinum4,platinum5,platinum_avg
gazal_machete,加扎勒反曲刀,5,5,19,20,27,15.2
gram,格拉姆,40,45,50,60,100,59.0
guandao,关刀,29,30,30,30,30,29.8
gunsen,军扇,20,20,30,30,40,28.0
dual_skana,空刃双刀,8,15,20,25,30,19.6
jaw_sword,蛇颚刀,15,20,30,40,45,30.0
kesheg,怯薛,20,25,50,60,100,51.0
kestrel,红隼,15,20,30,40,40,29.0
kronsh,客隆什,5,18,40,45,45,30.6
ballistica,布里斯提卡,10,30,44,45,50,35.8
heat_dagger,烈焰匕首,9,10,10,19,25,14.6
jat_kittag,喷射战锤,25,28,30,30,80,38.6
sonicor,超音波冲击枪,10,15,15,16,20,15.2
tombfinger,墓指,40,40,40,50,50,44.0
gaze,凝目,15,20,20,25,30,22.0
pupacyst,毒囊骨茧,10,15,19,30,60,26.8
arca_plasmor,弧电离子枪,29,30,35,40,40,34.8
galvacord,电流刺索,10,20,25,100,100,51.0
bronco,野马,20,25,50,50,70,43.0
dual_cestra,锡斯特双枪,10,15,20,30,30,21.0
furis,盗贼,160,165,188,200,200,182.6
ankyros,甲龙双拳,30,30,30,35,35,32.0
atterax,阿特拉克斯,10,15,15,18,20,15.6
bo,玻之武杖,75,80,80,90,90,83.0
cassowar,鹤鸵长戟,10,10,15,20,20,15.0
ceramic_dagger,陶瓷匕首,380,380,380,400,449,397.8
halikar,哈利卡,8,10,20,30,30,19.6
hirudo,蚂蟥,20,20,25,30,50,29.0
mire,米尔,17,20,20,30,50,27.4
twin_krohkur,双子克鲁古尔,15,20,50,50,100,47.0
latron,拉特昂,129,130,130,138,150,135.4
lenz,楞次弓,10,15,20,25,50,24.0
miter,米特尔,25,70,120,150,170,107.0
mutalist_cernos,异融西诺斯,15,15,15,15,20,16.0
mutalist_quanta,异融量子枪,5,10,15,15,20,13.0
opticor,奥堤克光子枪,20,25,25,25,25,24.0
panthera,猎豹,1,15,15,20,20,14.2
penta,潘塔,10,13,15,15,16,13.8
phage,噬菌者,30,35,40,40,50,39.0
phantasma,幻离子,30,30,50,64,65,47.8
quanta,量子切割器,20,20,20,45,60,33.0
rubico,绝路,30,40,40,50,50,42.0
simulor,重力奇点拟成枪,4,10,12,20,40,17.2
snipetron,狙击特昂,5,10,10,18,20,12.6
sobek,鳄神,23,30,30,30,30,28.6
stradavar,斯特拉迪瓦,5,10,10,15,15,11.0
strun,斯特朗,59,65,70,78,80,70.4
sybaris,席芭莉丝,70,75,80,85,95,81.0
tetra,特拉,20,20,35,80,80,47.0
gammacor,咖玛腕甲枪,20,20,20,25,30,23.0
nukor,努寇微波枪,29,34,34,34,35,33.2
pandero,手鼓,10,20,30,50,60,34.0
pox,脓痘,10,19,19,20,20,17.6
pyrana,食人鱼,25,30,50,50,50,41.0
sicarus,暗杀者,32,40,45,70,80,53.4
spira,旋刃飞刀,10,20,29,30,30,23.8
dehtat,德塔特,14,15,20,40,40,25.8
destreza,技巧之剑,17,25,40,50,60,38.4
dex_dakra,Dex 达克拉双剑,15,20,20,35,50,28.0
dokrahm,多克拉姆,8,10,20,30,30,19.6
dragon_nikana,龙之侍刃,10,10,15,20,20,15.0
dual_cleavers,斩肉双刀,10,15,19,23,40,21.4
dual_ether,苍穹双剑,10,15,17,30,50,24.4
dual_heat_swords,烈焰双剑,10,15,20,25,30,20.0
dual_ichor,恶脓双斧,180,190,190,190,190,188.0
dual_keres,凯瑞斯双刀,20,25,25,29,40,27.8
kama,短柄战镰,15,15,25,200,250,101.0
kogake,科加基,15,20,20,25,50,26.0
multron,多连穿甲枪,25,30,30,40,40,33.0
vulcax,金工火舌,30,30,30,35,45,34.0
masseter,咀嚼金棒,9,13,50,50,60,36.4
pathocyst,病囊飞刃,15,20,29,30,30,24.8
kuva_chakkhurr,赤毒·邪眼,20,30,50,50,60,42.0
lecta,勒克塔,30,30,30,35,50,35.0
machete,马谢特砍刀,20,30,66,70,150,67.2
magistar,执法者,615,620,645,650,700,646.0
mewan,密丸,20,20,20,30,30,24.0
mios,牡狮神,8,15,20,30,50,24.6
rabvee,拉比威,50,73,80,100,170,94.6
war,战争之剑,18,28,30,35,50,32.2
artax,阿塔克斯,19,40,99,100,100,71.6
burst_laser,激光点发,15,40,40,45,50,38.0
deth_machine_rifle,死亡机枪,37,40,50,50,50,45.4
laser_rifle,激光步枪,35,40,40,50,50,43.0
astilla,碎裂者,15,15,20,20,25,19.0
baza,苍鹰,14,25,29,35,45,29.6
boar,野猪,70,70,75,80,80,75.0
flux_rifle,通量步枪,20,30,35,60,95,48.0
cronus,克洛诺斯,9,10,12,15,20,13.2
endura,三叶坚韧,9,10,14,15,20,13.6
glaive,战刃,250,265,278,279,280,270.4
heat_sword,烈焰长剑,9,20,20,30,80,31.8
jat_kusar,喷射锁镰,15,15,18,40,50,27.6
nami_skyla,海波斯库拉对剑,15,15,20,20,23,18.6
nami_solo,海波单剑,50,50,50,59,60,53.8
nikana,侍刃,30,39,40,50,60,43.8
ninkondi,降灵追猎者,15,19,28,30,50,28.4
obex,奥比克斯,20,30,40,50,50,38.0
ohma,欧玛,20,20,30,80,90,48.0
okina,翁,45,70,80,85,90,74.0
ooltha,乌尔萨,4,6,10,20,20,12.0
orthos,欧特鲁斯,20,25,29,30,50,30.8
orvius,灵枢,14,20,30,40,50,30.8
pangolin_sword,鲮鲤剑,14,20,20,30,30,22.8
plague_keewar,瘟疫 奇沃,5,6,6,10,15,8.4
plague_kripath,瘟疫 克里帕丝,20,30,30,40,40,32.0
plasma_sword,等离子长剑,10,15,30,40,50,29.0
prova,普罗沃,19,20,20,20,40,23.8
redeemer,救赎者,29,30,35,50,50,38.8
skana,空刃,45,47,48,50,50,48.0
harpak,哈帕克,10,15,20,20,20,17.0
hema,血肢,19,20,20,20,20,19.8
hind,雌鹿,10,15,15,19,20,15.8
ignis,伊格尼斯,30,30,40,40,40,36.0
javlok,燃焰标枪,15,15,15,17,20,16.4
karak,卡拉克,20,20,20,20,30,22.0
kohm,寇恩热能枪,19,19,30,30,40,27.6
lanka,兰卡,5,8,15,20,20,13.6
paris,帕里斯,10,25,30,40,50,31.0
quartakk,夸塔克,20,20,20,50,50,32.0
scourge,祸根,15,15,20,30,40,24.0
spectra,光谱切割器,10,20,20,20,40,22.0
staticor,静电能量导引枪,5,20,25,30,40,24.0
stubba,史度巴,10,10,10,10,10,10.0
stug,史特克,31,45,75,100,120,74.2
talons,鹰爪,6,6,10,10,10,8.4
twin_grakatas,双子葛拉卡达,20,44,50,50,60,44.8
twin_gremlins,双子小精灵,15,15,25,30,30,23.0
twin_kohmak,双子寇恩霰机枪,8,10,15,40,50,24.6
twin_rogga,双子罗格,10,20,20,30,40,24.0
twin_vipers,双子蝰蛇,13,15,20,25,30,20.6
tysis,啐沫者,40,50,50,50,50,48.0
vasto,瓦斯托,20,25,30,30,30,27.0
viper,蝰蛇,10,15,30,100,100,51.0
zylok,席尔火枪,20,25,29,30,30,26.8
dakra_prime,达克拉 Prime,16,20,20,25,25,21.2
dark_dagger,暗黑匕首,30,30,35,40,50,37.0
kuva_twin_stubbas,赤毒·双子史度巴,10,10,20,40,60,28.0
pennant,尖幡,15,15,20,20,20,18.0
kuva_bramma,赤毒·布拉玛,20,30,30,35,40,31.0
stropha,诡计之刃,18,20,20,20,25,20.6
morgha,置灵者,30,50,200,750,6000,1406.0
catabolyst,异化者,15,20,25,30,50,28.0
hikou,飞扬,5,10,10,15,20,12.0
knell,丧钟,20,20,25,50,50,33.0
kohmak,寇恩霰机枪,4,4,5,10,10,6.6
kraken,北海巨妖,9,10,15,20,35,17.8
kunai,苦无,20,20,35,40,40,31.0
lex,雷克斯,85,88,90,100,100,92.6
marelok,玛瑞火枪,10,25,35,50,66,37.2
broken_scepter,破损珽杖,10,19,20,20,25,18.8
dual_zoren,佐伦双斧,14,15,25,30,35,23.8
ether_daggers,苍穹匕首,15,15,15,20,20,17.0
ether_reaper,苍穹死神,6,10,15,24,25,16.0
ether_sword,苍穹之剑,9,10,10,11,15,11.0
fang,狼牙,20,30,40,50,50,38.0
furax,弗拉克斯,35,35,40,40,40,38.0
karyst,凯洛斯特,20,25,40,100,200,77.0
stinger,毒刺,15,20,25,30,34,24.8
vulklok,金工火枪,20,30,30,30,35,29.0
catchmoon,捕月,9,10,10,20,20,13.8
plinx,漫射者,22,25,25,30,40,28.4
korrudo,库鲁多,7,20,30,40,50,29.4
fulmin,雷霆,25,30,34,45,45,35.8
cobra_and_crane,眼镜蛇 & 鹤,20,30,30,33,35,29.6
komorex,猛毒,17,20,20,20,20,19.4
cyanex,氰毒,15,20,20,25,45,25.0
tatsu,龙辰,18,19,40,45,45,33.4
cyngas,合成燃气炮,5,10,20,20,20,15.0
larkspur,翠雀,34,38,46,95,150,72.6
imperator,凯旋将军,20,20,20,22,25,21.4
corvas,黑鸦,40,70,90,99,100,79.8
phaedra,菲德菈,20,25,40,50,50,37.0
grattler,葛拉特勒,100,100,130,140,140,122.0
dual_decurion,什长双枪,99,100,100,100,100,99.8
attica,阿提卡,8,10,10,10,10,9.6
boltor,螺钉步枪,40,45,60,75,79,59.8
braton,布莱顿,30,45,45,48,50,43.6
corinth,科林斯,8,15,20,20,20,16.6
ferrox,铁晶磁轨炮,10,19,19,28,35,22.2
hek,海克,20,20,20,29,30,23.8
ogris,食人女魔,65,88,99,100,100,90.4
paracyst,附肢寄生者,5,10,15,15,15,12.0
supra,苏普拉,10,15,20,20,20,17.0
tenora,双簧管,30,30,35,40,50,37.0
tiberon,狂鲨,10,20,30,40,40,28.0
aklex,雷克斯双枪,10,10,15,20,25,16.0
akmagnus,麦格努斯双枪,10,20,20,20,20,18.0
aksomati,轻灵月神双枪,20,25,30,30,35,28.0
akstiletto,史提托双枪,15,15,20,40,40,26.0
akvasto,瓦斯托双枪,10,14,25,50,50,29.8
akzani,荒谬双枪,10,10,10,20,45,19.0
angstrum,安格斯壮,30,40,40,40,40,38.0
atomos,原子矿融炮,50,50,50,50,50,50.0
azima,方位角,10,10,12,14,20,13.2
bolto,螺钉手枪,5,10,10,20,20,13.0
brakk,布拉克,35,40,49,50,50,44.8
despair,绝望,20,25,25,30,30,26.0
dual_raza,锋月双斧,1,5,15,20,25,13.2
reaper_prime,收割者 Prime,19,20,25,25,30,23.8
ripkas,锐卡斯,30,35,45,100,150,72.0
dark_sword,暗黑长剑,20,20,44,50,80,42.8
kreska,直镐,10,15,25,40,50,28.0
velocitus,极速电磁步枪,90,90,99,99,99,95.4
fluctus,巨浪,30,30,40,60,70,46.0
quatz,夸兹,5,10,15,15,20,13.0
acceltra,迅发电浆炮,55,60,60,60,65,60.0
akarius,阿利乌双枪,20,29,30,37,38,30.8
tazicor,泰瑟步枪,25,30,30,50,50,37.0
cryotra,急冻喷枪,20,20,25,25,29,23.8
shedu,舍杜,40,40,45,47,50,44.4
cortege,送葬者,40,40,50,80,90,60.0
vitrica,金璃剑,18,20,23,30,40,26.2
pulmonars,感染连枷,10,20,20,20,30,20.0
bubonico,横痃重炮,20,25,29,29,30,26.6
proboscis_cernos,刺吸西诺斯,19,20,20,20,20,19.8
sporothrix,孢丝感染枪,20,30,40,50,60,40.0
arum_spinosa,疆南星刺,28,30,30,30,40,31.6
sarpa,蛇刃,5,20,20,50,50,29.0
scindo,分裂斩斧,20,20,30,30,50,30.0
scoliac,脊椎节鞭,20,50,55,60,74,51.8
sepfahn,瑟普梵,16,30,35,40,45,33.2
serro,电能斩锯,12,18,20,25,30,21.0
shaku,双节尺棍,10,40,50,70,100,54.0
sheev,希芙,10,20,30,70,70,40.0
sibear,西伯利亚冰锤,10,20,20,20,20,18.0
sigma_and_octantis,西格玛 & 南极座,10,10,14,40,50,24.8
silva_and_aegis,席瓦 & 神盾,10,15,20,20,20,17.0
skiajati,影生,13,13,15,19,30,18.0
sydon,恶龙,12,25,25,35,48,29.0
tekko,铁钩手甲,10,15,35,40,50,30.0
tipedo,提佩多,6,35,48,50,50,37.8
tonbo,蜻蛉薙,14,15,19,20,50,23.6
twin_basolk,双子巴萨克,10,15,20,20,25,18.0
amprex,安培克斯,18,19,19,20,20,19.2
burston,伯斯顿,160,170,200,200,224,190.8
buzlok,巴兹火枪,20,20,30,30,40,28.0
cernos,西诺斯,8,15,15,30,35,20.6
convectrix,导热聚焦枪,20,20,20,30,35,25.0
daikyu,大久和弓,10,20,20,20,35,21.0
dera,德拉,30,65,70,72,72,61.8
drakgoon,龙骑兵,15,20,20,20,20,19.0
dread,恐惧,30,35,40,40,40,37.0
glaxion,冷冻光束步枪,70,70,70,80,90,76.0
gorgon,蛇发女妖,20,30,35,40,40,33.0
grakata,葛拉卡达,10,16,20,20,45,22.2
grinlok,葛恩火枪,6,7,7,10,10,8.0
seer,预言者,9,9,10,25,30,16.6
zakti,毒芽,5,9,19,20,50,20.6
cyath,西亚什,5,8,10,30,45,19.6
dark_split_sword_(dual_swords),暗黑分合剑,20,20,40,50,50,36.0
krohkur,克鲁古尔,10,15,15,20,30,18.0
kronen,皇家拐刃,25,25,30,50,50,36.0
lacera,悲痛之刃,20,25,25,30,35,27.0
lesion,病变,15,25,30,35,45,30.0
venka,凯旋之爪,20,20,25,50,50,33.0
volnus,创伤,15,20,20,20,20,19.0
zenistar,天顶之星,25,30,30,50,50,37.0
deconstructor,分离,29,40,50,50,199,73.6
sweeper,扫除者,20,25,40,50,50,37.0
rattleguts,响胆,8,10,12,20,20,14.0
wolf_sledge,恶狼战锤,20,25,30,30,40,29.0
quellor,压制者,20,20,20,20,25,21.0
basmu,巴什穆,10,15,20,20,25,18.0
stahlta,钢刃步枪,40,40,40,50,50,44.0
velox,逐电,15,20,30,35,50,30.0
helstrum,赫尔斯壮,35,40,40,45,50,42.0
xoris,驱魔之刃,25,28,30,34,35,30.4
athodai,阿索代,15,15,15,20,20,17.0
sepulcrum,追击者,15,20,20,30,50,27.0
quassus,威震武扇,20,24,30,35,40,29.8
trumna,灭杀者,10,25,30,30,35,26.0
zymos,邪莫斯,50,50,50,70,200,84.0
keratinos,卡提努之爪,34,35,35,50,50,40.8
mausolon,惩戒者,88,99,99,100,100,97.2
cedo,塞多,14,30,34,35,35,29.6
verglas,冰凇,695,699,700,700,745,707.8
epitaph,葬铭,45,45,45,49,49,46.6
tenet_envoy,信条·典客,19,20,25,34,40,27.6
tenet_spirex,信条·斯派克斯,10,15,20,20,20,17.0
kompressa,卡帕压力枪,50,65,70,70,70,65.0
tenet_exec,信条·枢密,60,90,100,100,100,90.0
tenet_grigori,信条·格里高利,10,18,20,20,20,17.6
ambassador,使节,15,20,20,20,20,19.0
cadus,卡德斯,10,14,15,20,40,19.8
tenet_livia,信条·莉薇娅,5,19,19,20,20,16.6
tenet_diplos,信条·纵横双枪,30,30,35,35,35,33.0
tenet_agendus,信条·集议,20,20,20,20,20,20.0
lacerten,莱斯腾,49,99,100,295,600,228.6
akaten,阿卡腾,70,200,255,280,300,221.0
batoten,巴托腾,35,45,100,600,0,195.0
vastilok,瓦斯提枪刃,15,25,30,30,50,30.0
ghoulsaw,尸鬼电锯,20,25,30,30,39,28.8
verdilac,蝰首骨妖,20,20,20,50,55,33.0
nepheri,赤炎流星,30,30,35,40,45,36.0
rumblejack,电匕怪杰,10,11,20,20,25,17.2
korumm,雷霆暴君,5,10,20,20,30,17.0
venato,脉纹,10,15,20,20,25,18.0
nataruk,太始弓,40,40,40,45,50,43.0
hespar,暮斩,25,25,25,30,35,28.0
alternox,电幻步枪,8,15,20,20,35,19.6
aeolak,风鸣,18,19,20,20,30,21.4
phenmor,凤殁,40,50,70,75,80,63.0
laetum,奏凯,100,100,100,120,120,108.0
praedos,双雄,40,40,40,45,48,42.6
innodem,清刚,25,30,30,30,30,29.0
felarx,逐枭,40,45,55,60,60,52.0
vericres,真月武扇,15,20,30,30,60,31.0
slaytra,屠煞,20,29,30,30,40,29.8
aegrit,骇敌榴弹,8,20,20,20,20,17.6
afentis,圣英,10,10,10,15,25,14.0
sarofang,沙罗之牙,20,50,50,80,150,70.0
perigale,月面狂风,30,30,30,30,30,30.0
corufell,闪劫,20,30,30,30,30,28.0
steflos,石晶之花,5,5,12,25,30,15.4
sampotes,三宝聚,40,50,50,50,60,50.0
azothane,溶灵尊,20,20,50,80,100,54.0
syam,业珀,55,65,69,70,80,67.8
cinta,遂心,10,15,20,20,20,17.0
sun_and_moon,赤阳 & 幽月,30,35,35,50,80,46.0
edun,雷石祭,10,20,20,20,30,20.0
rauta,锐铁,20,20,20,22,25,21.4
argo_and_vel,星舟 & 帆,10,19,67,300,400,159.2
gotva_prime,骨葬 Prime,10,19,20,20,20,17.8
dorrclave,怒斩,20,25,30,35,39,29.8
ekhein,映声战锤,20,23,25,30,50,29.6
mandonel,辐光弩炮,40,40,40,0,0,40.0
grimoire,Grimoire,15,40,40,50,70,43.0
onos,赘骨,24,30,40,120,200,82.8
ruvox,古声,18,18,20,20,20,19.2
dex_nikana,Dex 侍刃,200,0,0,0,0,200.0
cantare,歌颂,16,20,23,25,29,22.6
evensong,晚祷,15,17,25,30,30,23.4
harmony,和谐,110,110,120,120,120,116.0
ax_52,AX-52,38,40,49,50,50,45.4
